[2023-05-31 04:48:21] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 04:48:21] Command line arguments:
- args.data_root             : ./data/
- args.data_name             : ImageNet1k_x64
- args.resnet_depth          : 50
- args.resnet_width          : 1
- args.batch_size            : 1024
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 128000
- args.optim_lr              : 0.4
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0003
- args.optim_label_smoothing : 0.1
- args.optim_global_clipping : None
- args.save                  : ./save/ImageNet1k_x64/resnet_50x1-batch_1024-iter_128k-lr_0.4-wd_0.0003-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 04:48:22] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-05-31 04:49:00] images.shape: (4, 256, 64, 64, 3), output.shape: (4, 256, 2048)
[2023-05-31 04:49:01] The number of trainable parameters: 25548352
[2023-05-31 04:54:31] [Iter    1000/ 128000] trn/loss 6.674e+00, trn/negative_log_likelihood 6.674e+00, trn/w_norm 2.503e+02, trn/g_norm 6.127e-01, trn/lr 1.561e-02, trn/dyn_scale 6.554e+04, val/acc 1.778e-02, val/nll 6.384e+00, val/best_acc 1.778e-02 (best_acc: 0.000e+00 -> 1.778e-02), tst/acc 1.778e-02, tst/nll 6.384e+00
[2023-05-31 04:59:17] [Iter    2000/ 128000] trn/loss 6.310e+00, trn/negative_log_likelihood 6.310e+00, trn/w_norm 2.283e+02, trn/g_norm 7.074e-01, trn/lr 4.686e-02, trn/dyn_scale 6.554e+04, val/acc 3.656e-02, val/nll 5.955e+00, val/best_acc 3.656e-02 (best_acc: 1.778e-02 -> 3.656e-02), tst/acc 3.656e-02, tst/nll 5.955e+00
[2023-05-31 05:03:58] [Iter    3000/ 128000] trn/loss 5.717e+00, trn/negative_log_likelihood 5.717e+00, trn/w_norm 1.908e+02, trn/g_norm 1.052e+00, trn/lr 7.811e-02, trn/dyn_scale 6.554e+04, val/acc 7.636e-02, val/nll 5.225e+00, val/best_acc 7.636e-02 (best_acc: 3.656e-02 -> 7.636e-02), tst/acc 7.636e-02, tst/nll 5.225e+00
[2023-05-31 05:08:38] [Iter    4000/ 128000] trn/loss 4.907e+00, trn/negative_log_likelihood 4.907e+00, trn/w_norm 1.481e+02, trn/g_norm 1.241e+00, trn/lr 1.094e-01, trn/dyn_scale 6.554e+04, val/acc 1.327e-01, val/nll 4.609e+00, val/best_acc 1.327e-01 (best_acc: 7.636e-02 -> 1.327e-01), tst/acc 1.327e-01, tst/nll 4.609e+00
[2023-05-31 05:13:16] [Iter    5000/ 128000] trn/loss 4.228e+00, trn/negative_log_likelihood 4.228e+00, trn/w_norm 1.114e+02, trn/g_norm 1.282e+00, trn/lr 1.406e-01, trn/dyn_scale 6.554e+04, val/acc 2.163e-01, val/nll 3.882e+00, val/best_acc 2.163e-01 (best_acc: 1.327e-01 -> 2.163e-01), tst/acc 2.163e-01, tst/nll 3.882e+00
[2023-05-31 05:17:58] [Iter    6000/ 128000] trn/loss 3.802e+00, trn/negative_log_likelihood 3.802e+00, trn/w_norm 8.818e+01, trn/g_norm inf, trn/lr 1.719e-01, trn/dyn_scale 6.550e+04, val/acc 2.612e-01, val/nll 3.535e+00, val/best_acc 2.612e-01 (best_acc: 2.163e-01 -> 2.612e-01), tst/acc 2.612e-01, tst/nll 3.535e+00
